time,open,close,high,low,volume_24h,market_cap,market_dominance,circulating_supply,sentiment,galaxy_score,alt_rank,contributors_active,contributors_created,posts_active,posts_created,interactions,social_dominance,volatility,spam
2024-05-18 00:00:00,66937.11,66937.11,66937.11,66783.31,28301153720.94,1318643904624.03,54.32035859420786,19699743,80,72,182,12459,463,25363,737,2675402,10.773328122876173,,
2024-05-18 01:00:00,66936.53,66971.17,66971.17,66818.99,28095348999.07,1319319173306.79,54.38049347527688,19699809,80,43,78,12399,503,25079,824,2458451,10.376043127666,,
2024-05-18 02:00:00,66919.97,66919.97,66919.97,66830.97,28116314266.82,1318310585669.25,54.262272919994416,19699809,80,56,81,12137,557,24686,846,2435258,10.540158576314319,,
2024-05-18 03:00:00,66931.47,66986.67,66986.67,66891.61,27530443112.82,1319624679012.19,54.348127494988184,19699809,80,45,128,12044,600,24587,892,2492235,10.572507267066857,,
2024-05-18 04:00:00,66920.27,66920.27,66920.27,66833.94,27338993068.53,1318319606401.27,54.17842587431668,19699856,81,46,113,11975,410,24207,647,2470453,10.450042090267434,,
2024-05-18 05:00:00,66865.26,66865.26,66865.26,66841.36,27123410422.26,1317235925139.18,54.21945891460661,19699856,81,70,218,11823,546,24003,844,2585304,10.43762991050851,,
2024-05-18 06:00:00,66879.95,66890.37,66890.37,66762.85,26578234567.6,1317730714611.63,54.29524712991201,19699856,81,59,164,12187,567,25046,926,2540257,10.561337224012009,,
2024-05-18 07:00:00,66938.08,66946.47,66946.47,66866.74,25327209866.55,1318838432735.72,54.30289412612586,19699896,81,57,83,12229,476,25119,937,2751191,10.720641898380316,,
2024-05-18 08:00:00,66915.67,67012.91,67012.91,66845.2,24530846159.05,1320147364617.65,54.37918612708125,19699896,81,59,88,12393,707,25473,1051,2442633,10.637906913616337,,
2024-05-18 09:00:00,67036.93,67142.56,67142.56,67034.26,24397291254.46,1322701355651.73,54.3422414533192,19699896,81,46,110,12319,712,25115,969,2497632,10.658840705185337,,
2024-05-18 10:00:00,67135.3,67135.3,67135.3,67062.4,24297478600.59,1322561798010.29,54.23423611704122,19699946,81,48,112,12112,611,25015,918,2747299,10.65374787052811,,
2024-05-18 11:00:00,67199.36,67199.36,67199.36,67167.54,24624816609.95,1323823810867.41,54.21770663888681,19699946,81,44,91,12237,510,24926,689,2658995,10.490829047382553,,
2024-05-18 12:00:00,67088.64,67088.64,67088.64,66946.51,24218312909.38,1321642628733.71,54.156007410099186,19699946,81,44,53,12295,623,24775,783,2971080,10.64529158001478,,
2024-05-18 13:00:00,66848.86,66848.86,66848.86,66846.48,23420972637.49,1316920160050.52,54.19514353896471,19699965,81,44,46,12544,661,24824,816,3032015,10.446932076424543,,
2024-05-18 14:00:00,66808.53,66808.53,66808.53,66696.11,23195450779.73,1316125746088.37,54.28380718260443,19699965,80,45,53,12667,658,25252,834,3200539,10.487538468566871,,
2024-05-18 15:00:00,66839.86,66872.82,66872.82,66663.5,20862568130.41,1317392159553.7,54.38911467235048,19699965,80,61,76,12370,732,24589,975,2848527,10.380711945692187,,
2024-05-18 16:00:00,66877.7,66911.94,66911.94,66758.83,20003342705.88,1318162860858.79,54.34632506942678,19699965,81,68,138,12283,621,24436,739,2761872,10.253010531615827,,
2024-05-18 17:00:00,66849.25,66849.25,66849.25,66776.26,19250187619.12,1316927889885.36,54.311391333478355,19699965,80,68,130,12348,594,24611,919,2666337,10.137787572343624,,
2024-05-18 18:00:00,66815.82,66815.82,66815.82,66795.77,18298281439.89,1316269385896.23,54.27572142468631,19699965,81,68,37,12183,565,24312,729,2886468,10.368253832867774,,
2024-05-18 19:00:00,66828.88,66888.58,66888.58,66784.27,17442910245.28,1317702653625.25,54.35426956120667,19699965,80,68,180,12146,540,24242,762,2880509,10.32334441950883,,
2024-05-18 20:00:00,66940.14,66995.08,66995.08,66890.79,17101132813.8,1319800694536.06,54.3381192550554,19699965,86,48,52,12237,551,24297,745,7586565,10.250860672336978,,
2024-05-18 21:00:00,66890.12,66890.12,66890.12,66833.65,16971667693.34,1317732968981.97,54.19314544228892,19699965,81,43,40,11985,458,23751,611,2852924,10.373744829724878,,
2024-05-18 22:00:00,66914.81,66947.95,66947.95,66846.06,16944941643.31,1318883100307.18,54.336905940430825,19700128,81,46,36,11558,395,22838,559,2654699,10.099723604201216,,
2024-05-18 23:00:00,66936.26,66936.26,66936.26,66925.11,16757561200.96,1318652908613.44,54.31290324857794,19700128,80,47,108,11182,373,22034,502,2747167,9.99786738782233,,
2024-05-19 00:00:00,66895.09,66895.09,66895.09,66871.85,16144479578.06,1317841796217.74,54.24787655990878,19700128,81,66,176,11033,366,21576,445,3571868,9.911341816344343,,
2024-05-19 01:00:00,66906.94,66933.87,66933.87,66901.82,15915474367.78,1318608089465.59,54.327780222496536,19700162,81,66,145,10761,382,21100,503,2606331,9.729689848843966,,
2024-05-19 02:00:00,66936.12,67193.53,67193.53,66931.99,15895346781.78,1323723491892.85,54.50458647868429,19700162,82,51,51,10573,346,20528,429,3679754,9.66774201144418,,
2024-05-19 03:00:00,67158.17,67158.17,67158.17,67105.33,16058056871.87,1323026747886.43,54.24358405618076,19700162,80,52,32,10772,326,21082,396,2329006,9.653460812865177,,
2024-05-19 04:00:00,67120.17,67120.17,67120.17,67007.59,15953745228.62,1322285781001.06,54.2488791199755,19700275,80,66,74,10438,311,20235,457,2300374,9.604613632048604,,
2024-05-19 05:00:00,67133.89,67133.89,67133.89,67096.25,15898015555.73,1322556053412.94,54.31404153403917,19700275,80,66,51,10602,379,20384,476,2160421,9.522830687583507,,
2024-05-19 06:00:00,67004.17,67004.17,67004.17,66943.31,15890926435.7,1320000512776.47,54.24488831565013,19700275,81,66,235,10880,450,21231,547,2626679,9.502730283770477,,
2024-05-19 07:00:00,67035.11,67306.24,67306.24,66999.61,15693221958.06,1325954950254.79,54.61309458826773,19700328,81,66,23,10757,470,21130,689,2500806,9.900108699726376,,
2024-05-19 08:00:00,67203.25,67203.25,67203.25,67121.05,15651402960.09,1323926001340.32,54.33283566538063,19700328,82,66,48,11134,473,22090,825,2655995,9.886190214059067,,
2024-05-19 09:00:00,67108.21,67108.21,67108.21,67010.22,15570913398.35,1322053686409.29,54.384499347945905,19700328,81,67,51,11122,501,22202,767,2607752,9.919799834684897,,
2024-05-19 10:00:00,67174.81,67354.82,67354.82,67141.23,16142678645.56,1326914522294.01,54.60133906048325,19700365,81,67,60,11212,628,22373,919,2557922,9.897761910449875,,
2024-05-19 11:00:00,67276.47,67339.6,67339.6,67004.33,16270209142.59,1326614615606.06,54.561885872621886,19700365,81,67,40,11165,646,22194,919,2731102,10.032728193259077,,
2024-05-19 12:00:00,66886.87,66886.87,66886.87,66837.92,16691236628.6,1317695691489.1,54.20503935976219,19700365,81,44,29,11401,531,22834,761,2955678,10.052919370602893,,
2024-05-19 13:00:00,66860.27,67120.3,67120.3,66711.18,16907293120.15,1322297631313.42,54.800951739760876,19700412,81,68,31,11767,577,23417,889,2896356,10.003502956153241,,
2024-05-19 14:00:00,66898.2,66898.2,66898.2,66882.3,16498191943.2,1317922184227.4,54.51939142545849,19700412,81,68,37,11347,580,22435,832,3007722,10.094669870323877,,
2024-05-19 15:00:00,66852.97,66852.97,66852.97,66767.67,16335828797.96,1317031032470.82,54.58251910058216,19700412,81,60,20,11415,549,22541,858,3007002,10.023166984601293,,
2024-05-19 16:00:00,66615.83,66615.83,66615.83,66615.83,16547722273.07,1312362079259.17,54.40714337062169,19700453,81,69,59,11451,524,22402,742,2942109,9.941642443473052,,
2024-05-19 17:00:00,66669.6,66737.49,66737.49,66597.91,16986445547.8,1314758758438.59,54.74662664188167,19700453,81,63,20,11464,571,22782,889,3169249,9.851973897588252,,
2024-05-19 18:00:00,66573.31,66573.31,66573.31,66548.74,17091435294.2,1311524361458.49,54.479681512668385,19700453,81,70,46,11335,595,22319,835,3084850,9.851514429230999,,
2024-05-19 19:00:00,66024.47,66024.47,66024.47,65937.18,18327934373.59,1300718691832.33,54.1558472586532,19700556,80,62,24,11222,533,22018,785,3065852,9.871550583962877,,
2024-05-19 20:00:00,66040.38,66156.5,66156.5,66015.54,18710842093.49,1303319784448.15,54.541326346535726,19700556,80,63,29,11530,467,22653,706,3091909,9.93421918168662,,
2024-05-19 21:00:00,66159.64,66342.11,66342.11,66014.48,18880971802.38,1306976440251.69,54.588744426876254,19700556,81,68,2,11426,429,22715,674,3214861,9.954380321748008,,
2024-05-19 22:00:00,66278.25,66335.69,66335.69,66248.35,19125336977.33,1306854101420.83,54.58273343292801,19700618,81,61,23,11010,425,21622,662,2910920,9.761449003178273,,
2024-05-19 23:00:00,66336.92,66336.92,66336.92,66210.25,19221612104.39,1306878268037.45,54.473957738026755,19700618,80,69,86,10743,401,20905,544,2726282,9.762350622726359,,
2024-05-20 00:00:00,66277.66,66451.94,66451.94,66158.85,19590750596.31,1309144235143.91,54.658665546324855,19700618,79,69,62,10772,485,20995,657,2536761,9.694951883115683,,
2024-05-20 01:00:00,66448.51,66464.26,66464.26,66086.17,20341714882.9,1309390957060.51,54.554768089237136,19700678,80,63,26,10472,409,20131,587,2544111,9.520363959669334,,
2024-05-20 02:00:00,66517.19,66699.41,66699.41,66502.31,20612801645.22,1314023689939.27,54.73413202255654,19700678,79,44,22,10492,481,20204,582,2370271,9.471660962917818,,
2024-05-20 03:00:00,66668.41,66674.14,66674.14,66574.62,20529760871.14,1313525851691.81,54.50687764886847,19700678,79,44,28,10559,483,20113,611,6568439,9.625010767301857,,
2024-05-20 04:00:00,66676.28,67034.09,67034.09,66628.49,21112498057.84,1320621332236.37,54.799644919677284,19700743,80,46,37,10352,430,19910,535,2301153,9.468688175315782,,
2024-05-20 05:00:00,67124.79,67147.27,67147.27,67061.04,21809734036.14,1322851133548.92,54.460667291832884,19700743,79,70,53,10539,451,20072,585,2578183,9.242997066665438,,
2024-05-20 06:00:00,66518.93,66518.93,66518.93,66319.39,22184156430.98,1310472335424.25,53.88004306661235,19700743,79,43,47,10801,501,20442,579,2450291,9.327474573255035,,
2024-05-20 07:00:00,66411.35,66847.95,66847.95,66382.34,22830071401.71,1316958860764.34,54.841703991710766,19700812,80,70,1,11037,683,21073,854,2436371,9.453421498874006,,
2024-05-20 08:00:00,66762.37,66762.37,66762.37,66754.73,23021861332.75,1315272989436.81,54.38330712774496,19700812,79,43,70,10863,705,20682,913,2375731,9.473901193284624,,
2024-05-20 09:00:00,66763.67,66892.92,66892.92,66755.28,23100305085.44,1317844821586.77,54.49839641220693,19700812,79,45,61,11172,584,21232,689,2426213,9.439674910969533,,
2024-05-20 10:00:00,66903.17,67148.81,67148.81,66878.91,23060536473.86,1322889936245.81,54.680261459844104,19700868,79,44,53,11466,625,22049,803,2590217,9.51162800729905,,
2024-05-20 11:00:00,67026.31,67026.31,67026.31,66926.69,22603439588.21,1320476533375.66,54.40857386839642,19700868,79,53,69,11472,640,22073,830,2829174,9.623777571405526,,
2024-05-20 12:00:00,66936.72,66936.72,66936.72,66802.11,22332185452.92,1318711527247.31,54.45948941238387,19700868,81,53,37,11633,675,22326,913,4019490,9.652608141118485,,
2024-05-20 13:00:00,66928.93,67120.26,67120.26,66809.36,22509914570.95,1322330726869.65,54.7131535136308,19700918,79,68,82,11639,725,22424,891,3309453,9.59270365886525,,
2024-05-20 14:00:00,66873.91,66873.91,66873.91,66767.93,23009457973.45,1317477368877.71,54.374082586617924,19700918,80,43,76,11784,805,22808,1085,3332517,9.5373498812431,,
2024-05-20 15:00:00,66960.97,67378.15,67378.15,66898.82,24133665873.0,1327411338342.9,54.887462922750274,19700918,81,68,38,11971,843,23233,1066,3720292,9.562951742759768,,
2024-05-20 16:00:00,67405.5,68183.74,68183.74,67399.76,26381457907.23,1343287069489.17,55.108033589922364,19700987,80,68,93,12064,886,23101,1078,3768082,9.550564120373242,,
2024-05-20 17:00:00,68199.6,68331.17,68331.17,68078.82,27776150596.94,1346191430034.56,54.72928414266816,19700987,75,45,36,12626,1055,24579,1341,5477626,9.675324164101434,,
2024-05-20 18:00:00,68294.24,68699.66,68699.66,68294.24,28953634251.75,1353451128150.8,54.93159376613501,19700987,80,68,74,12688,869,24283,1038,4484835,9.801056672007878,,
2024-05-20 19:00:00,68704.92,69756.46,69756.46,68650.65,32487694080.6,1374275653394.53,55.57031506839576,19701053,80,44,75,13093,1413,24915,1673,4898550,9.979852034624058,,
2024-05-20 20:00:00,69525.9,69525.9,69525.9,69235.23,36422381564.92,1369733513978.84,53.70334814457179,19701053,79,45,82,13299,1263,25539,1587,5289293,10.22779152750078,,
2024-05-20 21:00:00,69513.98,69581.23,69581.23,68971.54,38382074258.55,1370823502133.62,53.838747139831675,19701053,80,71,213,13079,799,25248,995,4482259,10.057521630363771,,
2024-05-20 22:00:00,69657.38,69657.38,69657.38,69572.26,40082401350.69,1372328307848.95,53.378121643324604,19701118,80,71,208,12839,770,24698,1028,4270083,10.123707790557546,,
2024-05-20 23:00:00,69620.62,71409.68,71409.68,69611.39,43677050130.14,1406850525852.23,54.77601452902633,19701118,80,46,82,12829,1010,24444,1190,3788674,10.277497477295661,,
2024-05-21 00:00:00,71247.78,71247.78,71247.78,71121.25,46232379050.54,1403660886518.9,53.66550660795962,19701118,80,45,105,13139,1030,25236,1261,3759487,10.278969170424137,,
2024-05-21 01:00:00,71068.69,71068.69,71068.69,70721.11,47881611935.14,1400135907089.35,53.533064211056235,19701165,79,44,95,13121,794,25392,1011,3529402,10.205213533000554,,
2024-05-21 02:00:00,71069.85,71243.4,71243.4,70899.01,49278616424.7,1403578060488.92,53.810379780676044,19701165,79,48,74,12851,729,24539,879,3419381,10.211308632111589,,
2024-05-21 03:00:00,71269.86,71303.23,71303.23,71127.06,50478631644.14,1404756609851.85,53.8418029993044,19701165,80,49,77,12972,695,24712,842,3213088,10.07764583061464,,
2024-05-21 04:00:00,70853.77,70853.77,70853.77,70835.7,50814261175.15,1395906339406.12,53.41514868091798,19701228,80,72,166,13052,730,24665,912,3925935,10.144277829416556,,
